"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 29, 2020","51.45","51.15","52.70","49.30","697.28K","0.68%"
"Jun 26, 2020","51.10","50.50","52.05","49.65","594.97K","2.20%"
"Jun 25, 2020","50.00","50.00","50.30","49.30","328.17K","-0.99%"
"Jun 24, 2020","50.50","51.25","52.70","50.35","1.07M","-1.46%"
"Jun 23, 2020","51.25","51.25","54.00","50.50","819.94K","0.20%"
"Jun 22, 2020","51.15","51.25","52.25","51.00","406.13K","0.29%"
"Jun 19, 2020","51.00","52.00","52.15","50.85","273.69K","-0.39%"
"Jun 18, 2020","51.20","51.25","52.00","49.20","389.69K","0.59%"
"Jun 17, 2020","50.90","49.10","52.50","49.10","166.27K","-0.20%"
"Jun 16, 2020","51.00","53.40","53.60","48.15","573.87K","-0.78%"
"Jun 15, 2020","51.40","52.30","53.90","50.65","316.67K","-0.68%"
"Jun 12, 2020","51.75","48.20","52.00","47.00","427.41K","0.00%"
"Jun 11, 2020","51.75","51.75","55.40","50.40","363.94K","-0.86%"
"Jun 10, 2020","52.20","55.00","55.00","51.15","572.25K","-5.69%"
"Jun 09, 2020","55.35","60.25","61.00","54.50","1.46M","-2.12%"
"Jun 08, 2020","56.55","56.55","56.55","54.00","1.02M","9.91%"
"Jun 05, 2020","51.45","49.70","51.45","48.00","779.36K","9.94%"
"Jun 04, 2020","46.80","44.90","46.80","44.70","686.71K","4.93%"
"Jun 03, 2020","44.60","44.40","45.90","44.00","868.27K","1.59%"
"Jun 02, 2020","43.90","44.35","44.60","43.75","332.10K","-1.01%"
"Jun 01, 2020","44.35","45.70","45.70","44.15","435.37K","0.68%"
"May 29, 2020","44.05","44.90","46.45","43.15","645.17K","-2.11%"
"May 28, 2020","45.00","42.90","45.20","42.25","1.46M","4.53%"
"May 27, 2020","43.05","44.00","44.00","42.80","344.75K","-2.27%"
"May 26, 2020","44.05","46.00","46.45","43.40","956.52K","-2.22%"
"May 22, 2020","45.05","45.05","45.05","45.05","1.10M","4.89%"
"May 21, 2020","42.95","42.95","42.95","42.95","84.43K","4.88%"
"May 20, 2020","40.95","40.20","42.55","39.65","460.30K","-0.85%"
"May 19, 2020","41.30","42.10","42.95","41.30","328.79K","-4.95%"
"May 18, 2020","43.45","43.70","44.60","43.45","97.45K","-4.92%"
"May 15, 2020","45.70","43.90","45.70","41.85","728.27K","4.94%"
"May 14, 2020","43.55","47.00","47.00","43.05","817.85K","-3.33%"
"May 13, 2020","45.05","45.05","45.05","45.05","201.83K","4.89%"
"May 12, 2020","42.95","42.85","42.95","41.25","1.66M","4.88%"
"May 11, 2020","40.95","40.60","40.95","39.70","1.62M","5.00%"
"May 08, 2020","39.00","40.15","40.95","38.60","245.07K","-2.62%"
"May 07, 2020","40.05","39.75","41.40","39.75","184.48K","0.88%"
"May 06, 2020","39.70","41.40","41.40","38.80","272.07K","-2.22%"
"May 05, 2020","40.60","41.00","42.30","40.55","525.89K","-4.81%"
"May 04, 2020","42.65","42.65","44.00","42.65","134.04K","-4.91%"
"Apr 30, 2020","44.85","43.75","45.20","42.60","893.86K","4.18%"
"Apr 29, 2020","43.05","43.80","43.80","41.35","183.75K","-1.03%"
"Apr 28, 2020","43.50","43.70","44.00","42.80","205.02K","0.23%"
"Apr 27, 2020","43.40","43.35","44.10","42.75","255.34K","1.88%"
"Apr 24, 2020","42.60","44.80","44.80","42.25","224.06K","-4.05%"
"Apr 23, 2020","44.40","44.55","45.95","44.30","173.81K","0.45%"
"Apr 22, 2020","44.20","45.00","45.40","43.60","253.51K","-3.60%"
"Apr 21, 2020","45.85","47.70","47.80","45.35","491.86K","-3.88%"
